1617582,SYLPIDRA4,15701,7845,432,2
849114253,achil83,15672,892,516,1
849097145,Ar+Ankou,2797,20904,400,6
4897404,Fa%C3%AFdel,15672,3751,452,1
4909893,elyeti,,0,547,0
848953961,Catio,15672,4592,445,2
849085582,derbantin,15521,428048,276,38
849112183,Dmx49,,1129,504,1
4247039,jijitobaba,14939,228,539,1
849112856,Troll,15712,6615,435,4
4816194,wireX,15711,876,517,1
1357735,Mankao,15672,56969,371,8
849082486,Imer19,4629,618254,252,50
848936177,marsiud,11887,462440,271,76
849070442,solei,4220,20299,401,3
4714042,nat+le+bg+du+43,15309,574,531,1
849114246,Else,,2085,470,1
1470129,Saint+Achille+Akhilleus,10229,89990,349,12
1383865,hemdall,15672,19242,404,3
4524352,HELIOSPARTOS,4629,5615036,73,422
848938194,marcob1,15525,135746,333,12
2075360,blazzer13190,469,1009,510,1
849067572,benaitreau,15309,17227,412,6
849105979,Dedjo,15708,79836,352,10
2094801,tueur+5,4629,891447,221,72
849095675,Lord+BabSa,15672,2110,469,1
849100651,ROGUE7777,15672,1733,485,1
3797669,Leneth,,457,537,1
848946367,benuche35,15274,299133,298,36
848992240,Maelon,,539,534,1
849060950,Ttinair,15672,17628,410,5
849087231,Jagjag,15714,1252,497,1
1013305,vicky2000,15694,4667,444,1
849102233,rv64,15709,3801,450,2
402207,rel87,3393,2518005,146,184
4082924,diego3,15309,1416,495,1
4777266,Eniotna,,0,548,0
849079470,mans31,6369,265868,307,20
4416740,JAILOO,15359,27770,389,5
849086014,Mercedes,15359,363492,280,38
849109495,popof,15518,6283,436,2
177982,Asclepsios,4963,4573657,95,335
849109431,Ttlegrand,,3551,453,1
849081800,Luxurius,15600,18579,407,3
849063757,Tetsuo69,15672,1122,506,1
4252188,Romuuuu72,,0,550,0
849097768,Redbul57,15672,1670,488,1
849112972,Temusarr,15672,928,514,1
848942103,-Melchior-,,782,519,1
849090989,NOUNOURS88,15672,9648,426,3
4903151,Tante+Germaine,,0,551,0
849094979,Jaemsdu82370,15672,41710,377,4
849094943,russia35,15711,1044,508,1
3430193,phdu,15666,899,515,1
849102523,cobra36,15666,21931,397,3
849111353,TeTar,15672,753,521,1
849061643,-hpfer-,15576,62032,366,5
848979757,christiankiki83,15525,1950,478,1
849033011,lutsu,15654,8321,431,3
4545493,Stevelejeune,15672,2072,472,1
