3270652,gwendoo62,,1095,480,1
848921471,jlbb,,810,494,1
849100742,Ghost11,15667,1582,466,1
252312,titeuf42,6369,5077086,83,371
1650239,MnouMomo,625,13906234,3,1023
4001515,Naxamos,,552,505,1
2446140,Le-cand,15667,6033,425,2
849100410,gdgdfseeqwxwcw,6369,2255,456,1
849049229,Azurore,15614,5249,428,1
849100075,doudou52240,,13491,405,6
849095646,Hake,,3220,446,1
848985825,miltiade68,,11516,407,4
1092993,SALAMANDE,6369,97466,339,12
849102465,ditexolop,15665,838,493,1
849096451,Rimka,,1269,476,1
4169431,boccarossa06,2547,407279,273,41
849087650,Colr0,6369,79260,350,10
849094881,Bulldog,6369,4931,431,2
849096983,Strobopop,,221,521,1
849098926,Justine,6369,11963,406,3
849079470,mans31,6369,65956,362,8
849101718,Chimaira,15600,6881,420,2
849102309,AresCool,,2214,457,1
849102604,Vito+01,,543,507,1
849096898,alex36130,6369,1614,465,1
848938194,marcob1,15525,81786,342,6
1886309,Lapo%C3%A9l%C3%A9sos,15521,320986,289,29
849071995,Blackwolf08,7613,7483,419,2
848936177,marsiud,11887,456848,263,76
849100286,Couscous+tagine,6369,3431,444,1
849094979,Jaemsdu82370,6369,28306,384,3
1542840,henrick69,15650,2760,452,1
848949953,modestejoueur,11887,13716,403,1
849082486,Imer19,6369,379143,280,36
4247039,jijitobaba,14939,228,519,1
1470129,Saint+Achille+Akhilleus,10229,71687,355,8
849084164,Ag%C3%A9nor,,3957,440,2
3525673,nene194,6369,959,488,1
4416740,JAILOO,6369,3177,447,1
849101797,Gedeon29,15624,1742,463,1
849097895,ugufydfydfyff,15642,6612,423,2
1677160,Mass%C3%A9na,4629,220916,311,23
1516211,SilverGhost,,175,529,1
3387114,Gayama,,5202,429,2
849085582,derbantin,15521,139540,323,14
849099450,Thomanos,,10470,409,6
4883879,toctoc,,1061,481,1
849095328,ScandaleuxKbhvjbvvh34909,6369,23576,393,8
849070442,solei,4220,13532,404,2
727881,manu.39,4963,5597090,71,412
4812071,oppac,15465,199830,314,18
3443166,NWAWS,15660,8636,415,3
848946367,benuche35,15274,222198,309,28
20711,ttthorgal,15668,5936,426,1
849054970,Scribe,6369,8822,414,3
849098581,scratch74,,264,517,1
1176796,bedoul,15670,1227,477,1
2618879,Sunahi,,1365,472,1
849100903,Frieren94,,221,520,1
849060145,Fatalfufu,7613,1326,475,1
849102526,DeL-Ba,15667,2359,455,1
848896550,papimouzo,6369,55738,372,11
1869298,Burgle,,997,484,1
849100743,Manaim,15655,5863,427,2
849102009,al34,6369,964,487,1
849084709,Samsam,15589,25199,390,5
849061643,-hpfer-,15576,61766,368,5
849101175,Derbi,7613,1787,462,1
849052465,Baraka76,15588,76321,352,7
849100834,Xprout,,801,496,1
849101527,COPAB,,1339,474,1
849054182,Blakyllex,,4357,434,2
849100862,Lempicka-4,2568,2062,460,1
848974615,Wano+Kuni,2547,62802,366,7
849102670,kouglotte,,197,524,1
849096521,zenit031,14655,9021,412,1
849033011,lutsu,15654,1895,461,1
4914563,ingridia,,5131,430,1
849084523,Scred42,,175,528,1
849102785,PotitElfe,15667,533,509,1
849094802,Espadon+Fougueux,15624,23477,394,3
677642,boum164,625,6453761,64,479
4895054,pastisricard,10229,376740,282,31
849044365,Mr.Reese,,2954,449,1
37071,rococo,15581,22160,395,4
849095324,Zakaria31,,617,501,1
849003182,Clade10,6369,114686,332,13
849093111,xxxx,,270,516,1
744308,xxx26,15667,1394,469,1
849016837,Nainkapable,15667,1442,468,1
849100749,Darksnows2507,6369,2137,459,1
77121,helevi,,1049,482,1
2192819,jujubenaids123,6369,39005,381,5
849100800,NV123,,241,518,1
849054895,kiezer,6369,54408,373,7
4595943,Massawi-33,,549,506,1
849102957,Baloue,,509,513,1
849071974,Alexanor,,2813,451,1
849042485,Edd83,,945,489,1
849029415,mimii,,649,499,1
849100381,Asher,15657,3109,448,2
849102676,mangemoncaca,,511,512,1
4462566,gros1919,,3577,442,1
849096570,rico011,14655,8829,413,1
849102483,Kenshicarus,15667,3517,443,2
849101693,Solivagant,,6246,424,2
849096752,Upoli,,751,498,1
1842266,Touifi,15548,320415,290,34
849100069,Rayanbrh,,2399,454,1
849102367,BarodeGaule,,197,523,1
3045486,robert001,7613,1360,473,1
3430193,phdu,,526,510,1
849057586,maximus91120,15600,1456,467,1
849081800,Luxurius,15600,3349,445,1
1466840,Vojvod,,808,495,1
3745681,Kotani,15664,24542,392,7
849081780,piol,2568,21274,396,7
3530436,NATHANAELOHA7,6369,3844,441,2
2567659,rachon333,4629,42712,378,6
849048602,Sebio,6369,61179,370,9
2491269,segrin,7613,936,490,1
4866910,zeusb007,6369,77147,351,9
849093005,Dallas2.0,6369,6852,421,3
1110287,ToKing,6369,35471,382,7
849052930,eric+9865,7613,4222,436,2
1013305,vicky2000,15545,52692,375,11
4774798,gg59hesiode,,220,522,1
849057623,canard29870,,773,497,1
683056,fouding,4629,300391,295,34
849001395,LordBananas,2568,134433,324,15
849044273,noyt,625,565317,251,56
849097642,Larmurier,15589,4095,438,2
1245984,sim213,6369,9644,410,3
4311892,nic0b01,6369,65421,364,8
688467,victor+newman,2797,8826141,31,667
849090628,DAUGYMON,,64758,365,11
849052861,IlI-PrideStalker-IlI,,933,491,1
1179767,-Xtrem4444-,,578,503,1
1078024,le-tite,15649,7627,418,2
3731362,Sigvard,,197,525,1
849064493,steav,625,67453,359,18
849095387,anavalrie,15638,30098,383,5
849102332,guest-25608147cc714be291,,175,526,1
849102474,Moguera,,611,502,1
849086014,Mercedes,6369,142701,321,18
849053695,TOTO181123,15359,321647,287,34
3996065,Ktek,,25371,389,4
849063872,Momo29,,539,508,1
849082285,Biditchoun,15541,81634,343,10
1324486,neohector,,20769,397,3
849023877,Alf2010,7613,8554,417,2
849103071,guest-91591f28920742d7b5,,175,527,1
849082762,esisteban,15521,176148,317,19
2534969,Eric370,,488,515,1
849057566,Kuruha59,15378,251848,301,30
1371874,LeGrizzly,4963,13341631,6,974
849085513,watsolmes,15521,81235,344,12
849102153,ReagenV,,577,504,1
2564622,drattoc,7613,312290,293,26
849020486,COCO61,,626,500,1
4388585,Finduilas79,11534,102658,336,17
849008149,KiraOmbre,4629,604015,244,62
849101386,V%C3%A9g%C3%A9ta89,15359,4242,435,2
215977,arnaudbernier,6369,42050,379,4
3204869,Bentow,4963,6566471,61,568
4906644,walacel,15447,222103,310,20
2449294,TexMex,6369,1262071,199,102
848891892,Mocen,2797,8562,416,2
849045316,Nevilli,15624,104346,335,12
1717618,snackiller,6369,495950,260,42
27574,pypo,4963,7679813,38,566
849079995,urka,11887,16030,401,3
3053728,Titofff,2797,14077107,2,1028
849101542,Dr%C3%AFfty,,1100,479,1
3109300,Isohypse,469,234334,307,33
1204859,romainp16,6234,71647,356,11
1110109,hadessamafr,4629,4088471,107,302
849090540,Chatouilleur,4629,396890,277,32
848906341,asteria56,6369,402143,276,34
651545,rey+misterio+619,4220,165023,319,19
3708223,Corentt%C3%AEn,10229,540353,256,49
681046,mongeneral,625,2081800,161,218
849102651,Islander,15667,907,492,1
849055223,dioufy,11887,14812,402,3
849089917,hardpunk,6369,195545,315,22
849032312,Jerem+le+conquerant,15309,1106142,212,95
4328865,Emrys1597,11887,228164,308,19
2854603,American+XIII,4629,1034264,218,92
4211777,Herm%C3%A8s+Ail%C3%A9,4963,4640551,89,350
4758977,sblobby,11887,134322,325,17
1457157,billloud,4629,505161,259,43
849096512,titeuf,14655,9072,411,1
186193,MICHELBRU,4629,6734512,59,498
848918202,Lea666,,246888,304,18
1917871,03jules,4629,83678,340,13
849103039,ljmdjfmdiofdm,,1107,478,1
421488,Mythriomid%C3%A9e,14962,801486,231,64
848892201,zxr750r,15247,72736,354,17
848308,squalerik,4629,257419,299,35
1970472,Drakkar33,2568,13366049,5,976
1919067,Eeth-Koth,2797,4242758,104,385
849101826,Triphasor,15359,2148,458,1
1687474,KOUYATE,6369,66562,361,10
2838139,raiy,15477,418914,272,41
1773508,Icaredison,4963,7265747,48,536
4443132,Dom030567,2568,68580,358,5
849093785,almasse721,15652,1383,471,1
1349118,CHULAK,14643,3548506,121,294
4072513,Prestro,9741,7419993,44,541
849095220,Arrow,625,124286,327,14
1790666,aladin630,4629,906245,224,106
1865707,Mornat,15382,5293677,79,402
849074365,Eejil,4629,549420,255,61
4906567,MissLazu,6369,3423122,126,301
2277926,furibond,4629,238044,306,29
849081564,Julien2485,469,118864,329,14
